,0,0
,0,232
,1,303
,1,303
,2,303
,2,303
,3,303
,3,303
,4,303
,4,303
,5,303
,5,303
,6,394
,6,394
,7,394
,7,394
,8,394
,8,394
,9,409
,9,455
,10,455
,10,455
,11,455
,11,480
,12,480
,12,526
,13,526
,14,561
,14,561
,15,614
,15,614
,16,649
,16,649
,17,708
,17,708
,18,745
,18,745
,19,811
,19,811
,20,844
,20,915
,21,915
,21,915
,22,912
,22,999
,23,1078
,23,1174
,24,1174
,24,1200
,25,1420
,26,1524
,26,1524
,27,2546
,27,2546
,28,2797
,28,3419
,29,3263
,29,3324
,30,3273
,30,3474
,31,3387
,31,3508
,32,3626
,32,3554
,33,3578
,33,3689
,34,3614
,34,3779
,35,3689
,35,3806
,36,3975
,37,4096
,37,4225
,38,4380
,38,4645
,39,4910
,39,4990
,40,5337
,40,5501
,41,5661
,41,5814
,42,5976
,42,6112
,43,6254
,43,6384
,44,6560
,44,6661
,45,6788
,45,6853
,46,6964
,47,7032
,47,7102
,48,7222
,48,7345
,49,7447
,49,7499
,50,7525
,50,7605
,51,7687
,51,7743
,52,7799
,52,7827
,53,7885
,53,7943
,54,8002
,54,8032
,55,8062
,55,8154
,56,8217
,56,8185
,57,8280
,57,8312
,58,8345
,59,8377
,59,8377
,60,8410
,60,8544
,61,8544
,61,8510
,62,8647
,62,8612
,63,8647
,63,8647
,64,8700
,64,8717
,65,8771
,65,8807
,66,8771
,66,8807
,67,8861
,67,8861
,68,8807
,68,8880
,69,8861
,69,8917
,70,8917
,70,8973
,71,9029
,71,8991
,72,8973
,72,9048
,73,9087
,74,9048
,74,9087
,75,8991
,75,9087
,76,9048
,76,9087
,77,9106
,77,9145
,78,9145
,78,9106
,79,9203
,79,9106
,80,9164
,80,9164
,81,9223
,81,9203
,82,9263
,82,9203
,83,9283
,83,9283
,84,9263
,84,9263
,85,9203
,85,9283
,86,9283
,86,9263
,87,9283
,88,9323
,88,9283
,89,9344
,89,9283
,90,9263
,90,9323
,91,9344
,91,9344
,92,9385
,92,9344
,93,9385
,93,9323
,94,9447
,94,9385
,95,9385
,95,9405
,96,9405
,96,9405
,97,9405
,97,9385
,98,9405
,98,9447
,99,9405
,99,9405
,100,9447
,100,9447
,101,9405
,102,9405
,102,9447
,103,9405
,103,9467
,104,9447
,104,9405
,105,9405
,105,9447
,106,9447
,1,0
,1,0
,2,154
,2,154
,3,154
,3,154
,4,154
,4,154
,5,154
,5,154
,6,154
,6,154
,7,175
,7,228
,8,228
,8,228
,9,228
,9,228
,10,228
,10,228
,11,228
,11,228
,12,228
,12,241
,13,241
,13,241
,14,241
,14,241
,15,241
,15,241
,16,241
,16,241
,17,252
,17,252
,18,252
,19,252
,19,304
,20,384
,20,384
,21,384
,21,384
,22,437
,22,539
,23,539
,23,539
,24,575
,24,628
,25,628
,25,628
,26,663
,26,725
,27,725
,27,725
,28,755
,28,823
,29,823
,29,862
,30,862
,30,924
,31,924
,31,963
,32,963
,32,1010
,33,1010
,33,1063
,34,1146
,34,1146
,35,1146
,35,1224
,36,1333
,36,1447
,37,1447
,37,2534
,38,2534
,38,2646
,39,3224
,39,3167
,40,2983
,40,3103
,41,3112
,41,3303
,42,3387
,43,3419
,43,3441
,44,3430
,44,3344
,45,3474
,45,3376
,46,3408
,46,3463
,47,3701
,47,3663
,48,3766
,48,4434
,49,4362
,49,4537
,50,4737
,50,4967
,51,5195
,51,5377
,52,5544
,52,5736
,53,5877
,53,6060
,54,6200
,54,6328
,55,6384
,55,6580
,56,6620
,56,6809
,57,6875
,57,7032
,58,7079
,58,7150
,59,7222
,59,7295
,60,7396
,60,7499
,61,7552
,61,7605
,62,7660
,62,7743
,63,7771
,63,7827
,64,7856
,64,7943
,65,7943
,65,7973
,66,8124
,67,8185
,67,8217
,68,8248
,68,8248
,69,8312
,69,8394
,70,8377
,70,8443
,71,8443
,71,8493
,72,8510
,72,8460
,73,8561
,73,8595
,74,8561
,74,8561
,75,8717
,75,8665
,76,8753
,76,8753
,77,8753
,77,8807
,78,8825
,78,8825
,79,8825
,79,8917
,80,8825
,80,8973
,81,8973
,81,8991
,82,8991
,83,8973
,83,8935
,84,8991
,84,8991
,85,9048
,85,9048
,86,9048
,86,9087
,87,9106
,87,9145
,88,9106
,88,9145
,89,9106
,89,9164
,90,9145
,90,9164
,91,9203
,91,9203
,92,9223
,92,9203
,93,9223
,93,9203
,94,9223
,94,9263
,95,9283
,95,9263
,96,9323
,96,9283
,97,9344
,97,9323
,98,9283
,99,9283
,99,9283
,100,9283
,100,9323
,101,9344
,101,9344
,102,9344
,102,9385
,103,9323
,103,9344
,104,9344
,104,9344
,105,9385
,105,9385
,106,9405
,106,9344
,107,9385
,107,9344
,108,9405
,108,9385
,109,9405
,109,9405
,110,9447
,110,9344
,111,9447
,111,9405
,112,9447
,112,9405
,113,9405
,113,9447
,114,9447
,114,9467
,115,9447
,115,9385
,116,9447
,116,9447
,117,9405
,117,9467
,118,9467
,119,9509
,119,9467
,120,9467
,120,9447
,121,9467
,121,9447
,122,9509
,122,9405
,123,9530
,123,9509
,124,9530
,124,9509
,125,9467
,125,9509
,126,9467
,126,9509
,127,9509
,127,9467
