1,0,0,0,100
2,0,0,0,107
3,458,45,3086,115
3,4518,492,33066,115
4,4518,894,45206,123
5,4518,1256,48759,129
5,4518,1582,47765,129
6,4518,1875,43363,137
7,425,1730,11174,144
7,425,1599,-3919,144
8,765,1515,-7752,152
9,765,1440,-9077,159
10,1085,1404,-7095,166
10,1085,1372,-5797,166
11,1127,1347,-4466,174
12,1564,1368,-758,181
13,1564,1387,875,188
13,1045,1352,-1856,188
14,2167,1433,4096,196
15,1227,1412,539,203
16,2558,1526,7900,211
16,2558,1629,11275,211
17,2558,1721,11947,218
18,2558,1804,11979,225
18,3520,1975,18221,225
19,3520,2129,19487,233
20,3508,2266,19613,240
21,1880,2227,7240,247
1,0,0,0,100
1,0,0,0,100
2,1458,145,10984,107
3,1458,276,14391,115
3,1458,394,15846,115
4,1458,500,15516,123
5,1458,595,14612,129
5,1458,681,13475,129
6,1458,758,11718,137
7,326,714,2555,144
8,1482,790,6577,152
8,1482,859,8317,152
9,1085,881,5810,159
10,1564,949,7337,166
10,1564,1010,8076,166
11,1343,1043,6186,174
12,2013,1140,10111,181
13,2013,1227,11072,188
13,2811,1385,16919,188
14,2811,1527,18993,196
15,1282,1502,7692,203
15,2013,1553,7515,203
16,1564,1555,3896,211
17,2811,1680,10992,218
17,1660,1676,5206,218
18,2558,1764,8540,225
19,1880,1787,5948,233
20,2558,1864,8306,240
20,4675,2145,24544,240
21,4675,2398,29577,247
1,0,0,0,100
2,0,0,0,107
2,147,14,974,107
3,147,27,1431,115
4,147,39,1570,123
4,147,49,1513,123
5,147,58,1396,129
6,147,66,1239,137
6,371,96,2868,137
7,371,123,3136,144
8,1045,215,8215,152
9,1045,298,10329,159
9,1045,372,10472,159
10,2558,590,21102,166
11,2558,786,24373,174
11,1010,808,13843,174
12,1880,915,14280,181
13,1880,1011,13430,188
13,2158,1125,15171,188
14,2158,1228,14679,196
15,1227,1227,7267,203
16,3121,1416,17133,211
16,1282,1389,6615,211
17,2811,1531,13523,218
18,1655,1555,8378,225
18,2811,1680,13559,225
19,1660,1676,6520,233
20,3508,1859,16540,240
21,3112,1984,17654,247
1,0,0,0,100
1,0,0,0,100
2,573,57,4118,107
3,573,108,5765,115
3,573,154,5835,115
4,573,195,5977,123
5,573,232,5673,129
5,573,266,5289,129
6,573,296,4649,137
7,293,295,2251,144
8,293,294,1052,152
8,293,293,459,152
9,293,293,229,159
10,293,293,114,166
10,455,309,1214,166
11,455,323,1611,174
12,455,336,1734,181
12,708,373,3540,181
13,708,406,3929,188
14,1045,469,6496,196
15,1282,550,8896,203
15,1282,623,9730,203
16,1757,736,13348,211
17,1880,850,14345,218
17,1660,931,12999,218
18,1757,1013,11958,225
19,2167,1128,14264,233
20,1409,1156,9123,240
20,3130,1353,17437,240
21,1564,1374,10260,247
0,0,0,0,93
1,0,0,0,100
2,226,22,1585,107
2,3766,396,27737,107
3,3766,733,36762,115
4,3766,1036,38447,123
5,3766,1309,39627,129
5,3766,1554,36780,129
6,3766,1775,34451,137
7,3766,1974,32187,144
7,293,1805,3847,144
8,293,1653,-9171,152
9,885,1576,-9711,159
9,3419,1760,8175,159
10,3419,1925,14746,166
11,3419,2074,18123,174
12,3419,2208,19106,181
12,3419,2329,17503,181
13,3419,2437,16421,188
14,341,2227,-5733,196
15,341,2038,-16270,203
15,341,1868,-19605,203
16,658,1747,-18384,211
17,658,1638,-16814,218
17,658,1540,-15298,218
18,745,1460,-12884,225
19,2167,1530,-1627,233
20,2167,1593,3832,240
20,943,1528,-2604,240
21,2811,1656,7814,247
0,0,0,0,93
1,0,0,0,100
2,279,27,1965,107
2,279,52,2601,107
3,279,74,2903,115
4,279,94,2844,123
4,279,112,2726,123
5,279,128,2567,129
6,279,143,2276,137
7,292,157,2148,144
7,292,170,1910,144
8,1010,254,7299,152
9,1010,329,9092,159
9,1227,418,10717,159
10,1757,551,15388,166
11,1757,671,16120,174
11,1174,721,11657,174
12,1757,824,13446,181
13,1757,917,13384,188
14,1482,973,10761,196
14,1880,1063,11356,196
15,1409,1097,8152,203
16,2558,1243,14655,211
16,1409,1276,9510,211
17,2558,1404,14364,218
18,1763,1439,9546,225
19,2811,1576,14700,233
19,1757,1612,9819,233
20,3520,1802,18598,240
21,3520,1973,21601,247
1,0,0,0,100
1,0,0,0,100
2,292,29,2183,107
3,292,55,2845,115
4,292,78,3077,123
4,292,99,2944,123
5,292,118,2848,129
6,292,135,2654,137
6,292,150,2339,137
7,293,164,2217,144
8,293,176,1946,152
8,293,187,1770,152
9,293,197,1629,159
10,293,206,1464,166
11,462,231,2527,174
11,462,254,2794,174
12,462,274,2840,181
13,692,315,4391,188
13,692,352,4688,188
14,1085,425,7832,196
15,1224,504,9379,203
16,2819,735,21308,211
16,2819,943,24998,211
17,1174,966,14151,218
18,2346,1104,16975,225
18,2162,1209,15708,225
19,1409,1229,9292,233
20,2013,1307,10032,240
20,2558,1432,14047,240
21,1757,1464,9393,247
1,0,0,0,100
2,0,0,0,107
2,236,23,1523,107
3,236,44,2289,115
4,236,63,2566,123
4,236,80,2506,123
5,236,95,2347,129
6,415,127,3439,137
7,415,155,3733,144
7,415,181,3586,144
8,415,204,3452,152
9,647,248,5024,159
9,1176,340,8856,159
10,1176,423,10451,166
11,1010,481,9606,174
12,1010,533,8115,181
12,1482,627,10487,181
13,1409,705,10348,188
14,1763,810,13068,196
14,1763,905,13085,196
15,1227,937,8871,203
16,2167,1060,13739,211
16,1482,1102,9886,211
17,2341,1225,13881,218
18,1482,1250,8703,225
19,3520,1477,20800,233
19,1564,1494,11518,233
20,2558,1600,13406,240
21,2341,1674,12233,247
